Z_PK,Z_ENT,Z_OPT,ZDELETEDSTATE,ZDIRECTION,ZORDERINGID,ZREAD,ZCONVERSATION,Z10_CONVERSATION,ZSTATUS,ZMESSAGEID,ZSTATUS1,ZIMAGETYPE,ZTYPE,ZLOCALTIMESTAMP,ZLENGTH,ZREMOTETIMESTAMP,ZTHUMBNAILHEIGHT,ZTHUMBNAILWIDTH,ZDURATION,ZCALLID,ZAUTHORNAME,ZCONTENT,ZTHUMBNAILURL,ZUID,ZSTRING,ZSIGNATURE,ZDATA
1,21,3,0,2,1,2,1.0,12.0,,30889618051.0,1.0,,,606792424.737768,,606792425.0,,,,,,"Hey, I switched over. ",,,,,
2,21,2,0,1,30889656839,2,1.0,12.0,,30889656839.0,2.0,,,606792565.476891,,606792564.0,,,,,Josh Hickman,Good. Much better.,,,,,
3,16,3,0,2,30889656840,2,1.0,12.0,,30889670647.0,1.0,0.0,,606792614.199126,,606792614.0,1121.0,1079.0,,,,https://media.textnow.com/?t=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6InRoaXNpc2RmaXIiLCJrZXkiOiIxZjJiYTMwZi01NGM2LTU1YmYtYTc5OS0zNzg5ZDRjMGFjOGMifQ.8F_6SSwXyq_F9j_rJqREDuH1UFZbXPpR3Zczh8xi3XM&h=1f2ba30f-54c6-55bf-a799-3789d4c0ac8c,,,,,
4,21,2,0,1,30889685288,2,1.0,12.0,,30889685288.0,2.0,,,606792669.42734,,606792668.0,,,,,Josh Hickman,Lol!!  Awesome!,,,,,
5,21,2,0,1,30889699842,2,1.0,12.0,,30889699842.0,2.0,,,606792722.799235,,606792722.0,,,,,Josh Hickman,My turn.,,,,,
6,16,4,0,1,30889717649,2,1.0,12.0,,30889717649.0,2.0,2.0,,606792788.917384,,606792788.0,387.0,560.0,,,Josh Hickman,https://media.textnow.com/?t=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6InRoaXNpc2RmaXIiLCJrZXkiOiI5ZmQwOTU5OS05MjNkLTU4ODItOWIyOC03YmM2Y2E1NTY1MmMifQ.BE1CQIdm0Pvlmrbd0zwBSKvThkn_KZMXCWD7C5UFWZI&h=9fd09599-923d-5882-9b28-7bc6ca55652c,,,,,
7,14,2,0,2,30889717650,2,1.0,12.0,4.0,,,,,606792965.692615,1.8462880849838257,,,,,19193912507-606792963.314773,,,,,,,
8,14,2,0,1,30889717650,2,1.0,12.0,4.0,,,,,606793051.699218,80.32684397697449,,,,,19193912507-606793047.576795,,,,,,,
9,21,10,0,2,30889717649,2,2.0,12.0,,,3.0,,,608730671.713908,,608730671.714477,,,,,,This is a sponsored conversation,,,,,
10,16,2,0,1,1,2,,,,1.0,2.0,0.0,,606877849.26591,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/08DCB3B1-FD94-4122-9E72-D7FE10D6967B/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
11,21,2,0,1,2,2,,,,2.0,2.0,,,606877849.900804,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
12,16,2,0,1,3,2,,,,3.0,2.0,0.0,,606877850.524312,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/08DCB3B1-FD94-4122-9E72-D7FE10D6967B/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
13,21,2,0,1,4,2,,,,4.0,2.0,,,606877850.682185,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
14,16,2,0,1,5,2,,,,5.0,2.0,0.0,,607260698.251404,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
15,21,2,0,1,6,2,,,,6.0,2.0,,,607260698.264345,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
16,16,2,0,1,7,2,,,,7.0,2.0,0.0,,607260700.116294,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
17,21,2,0,1,9,2,,,,9.0,2.0,,,607260700.699293,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
18,21,2,0,1,8,2,,,,8.0,2.0,,,607260700.698299,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
19,16,2,0,1,10,2,,,,10.0,2.0,0.0,,607260700.741143,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
20,21,2,0,1,11,2,,,,11.0,2.0,,,607260700.773926,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
21,21,2,0,1,12,2,,,,12.0,2.0,,,607260700.774366,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
22,16,2,0,1,13,2,,,,13.0,2.0,0.0,,607708543.956743,,606877846.6040001,,,,,890375101##0,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
23,16,2,0,1,17,2,,,,17.0,2.0,0.0,,607708544.070663,,607708542.7019999,,,,,890375101##3,/var/mobile/Containers/Data/Application/2C0EA118-A71B-4CFD-AF2E-7FE132AC59DF/Library/Caches/Leanplum_Resources/https:/assets.prod.leanplum.com/app_qykfIPvqZYbXnzgcRUuCvMxD5g3jHE9MkDCRDBypWAw/QXBwX0luYm94X01lc3NhZ2UgKDIpLmpwZw==,,,,,
24,21,2,0,1,14,2,,,,14.0,2.0,,,607708544.069985,,606877846.6040001,,,,,890375101##0,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
25,21,2,0,1,15,2,,,,15.0,2.0,,,607708544.070392,,606926673.55,,,,,6221787599601664##1,"Staying Safe: How to Avoid Scammers

This Is, here at TextNow, we strive to be a company you can count on. 

So we will be providing you with some tips and tricks to help you Stay Connected, Stay Healthy, and Stay Safe.  

Today's tip:📱Mobile Safety  
Learn how (by tapping here) to spot and avoid scammers trying to trick you out of your personal information.  

Stay connected, stay safe. 
💜Adriena from TextNow ",,,,,
26,21,2,0,1,18,2,,,,18.0,2.0,,,607708544.096899,,607708542.7019999,,,,,890375101##3,"📣NEW! Free Nationwide Talk & Text 
This Is, drop the Wi Fi and start connecting nationwide. For free  ",,,,,
