item_pid,key
705311054679456724,41bba76cd093e37c3722eba93cccbbdf
1910159339511848621,609b25f9c5f0b59cc1607394d02c9974
2769733731893192032,91c954ccf8fa66e6c80c4133d1a8edc4
2782872375250988681,ca5b0d524b766b89e77d21087ec212e3
2835056156909507428,9042b99c255f788f5d2b042d4374f11e
3216802966633642550,2010b255649ffdf096023b8fe22a1176
3431630958729038012,35ebaa2a65bc97700bded6c92c0b0b7c
3843645699961074112,40099a4b99069eea4e6d339712dcfc41
3941750896657481070,7e716fe042a6fb69e6c7d6ddfe90c655
4022885569669000922,6334c91827a2ce66f286e95d020cbb5e
4077364913164973727,efe05201a193b1b51297d4966ab72f40
4195528865379591282,2d8ae2339fe38e514fed3e88b012e791
5095894701845146737,382b68fa113220956af0d65726cc3b83
5398120735335638788,f90a49bf75f19ecd9a23c5da5f336587
5653295474666422846,16ad2cc92691756f035128574a49d22a
5754762387447453681,b7681f502c6878a6d198c0aaf6935197
6160503796200266268,e24f7ae85189a17869dd4ad4f3e91b13
6547747727934431728,07abe7d153ea1cc4f984828f9807d0a7
8103097208985786449,819e83020ead03b91f69ae4b736fb633
9037246110081599949,4c29f980cfa7970dd9dae2a92741bb72
9111574466154398660,1f70d7681d8cf8ae1b77bca791296f46
