thread_key,timestamp_ms,message_id,offline_threading_id,text,sender_id,sticker_id,is_admin_message,authority_level,send_status,send_status_v2,is_unsent,mention_offsets,mention_lengths,mention_ids,reply_source_id,reply_source_type,reply_source_type_v2,reply_snippet,reply_message_text,reply_to_user_id,reply_media_expiration_timestamp_ms,reply_media_url,reply_media_url_fallback,reply_media_url_mime_type,reply_media_preview_width,reply_media_preview_height,reply_cta_id,reply_cta_title,has_quick_replies,quick_reply_type,reply_attachment_type,reply_attachment_id,reply_attachment_extra,reply_status,admin_msg_cta_id,admin_msg_cta_title,admin_msg_cta_type,cannot_unsend_reason,text_has_links,view_flags,displayed_content_types,viewed_plugin_key,viewed_plugin_context,primary_sort_key,secondary_sort_key,mention_types
100030845613112,1584888980560,mid.$cAAAAB8r0m7N3NAPsUFxAr6kRQ1Gs,6647506190672810412,,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1584888980560,,
100030845613112,1584888655426,mid.$cAAAAB8r0m7N3M_72QlxArmuOeCtm,6647504826973825894,,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,0,1,,,1584888655426,,
100030845613112,1584888421780,mid.$cAAAAB8r0m7N3M_tllFxArYdRkCWi,6647503846699443618,Good question.,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1584888421780,,
100030845613112,1584888282625,mid.$cAAAAB8r0m7N3M_lGAVxArP9y_iS1,6647503263144748213,That’s about right.  Wonder if it will actually happen this year.,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1584888282625,,
100030845613112,1584888176761,mid.$cAAAAB8r0m7N3M_eoeVxArJOUcNEY,6647502799849443608,,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1584888176761,,
100030845613112,1584888130585,mid.$cAAAAB8r0m7N3M_b0GVxArGrLiyWJ,6647502624680256905,Lol!!,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1584888130585,,
100030845613112,1584887353191,mid.$cAAAAB8r0m7N3M-sXZ1xAqXO2Uj-p,6647499364444028841,Yep!,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1584887353191,,
100030845613112,1584887319288,mid.$cAAAAB8r0m7N3M-qS-FxAqVJtiDCy,6647499221488906418,I see.  I also see some of our previous Android 10 convo’s are here.,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1584887319288,,
100030845613112,1584887217210,mid.$cAAAAB8r0m7N3M-kEOlxAqO7EbLSe,6647498793449993374,Switched over to FB Messenger.,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1584887217210,,
100030845613112,1581271803495,mid.$cAAAAB8r0m7N2XGouZ1wKyTiujkpp,6632334646540388969,,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1581271803495,,
100030845613112,1580583848183,mid.$cAAAAB8r0m7N2M2jQ91wAiOI7l2-h,6629449156733136801,,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1580583848183,,
100030845613112,1580583713711,mid.$cAAAAB8r0m7N2M2bDr1wAiF7pnELI,6629448592717005512,,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,0,1,,,1580583713711,,
100030845613112,1580583583877,mid.$cAAAAB8r0m7N2M2TIhVwAh9-JBTMM,6629448045635646220,,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1580583583877,,
100030845613112,1580583466974,mid.$cAAAAB8r0m7N2M2L_3lwAh21J1jmK,6629447554949331338,,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1580583466974,,
100030845613112,1580583125918,mid.$cAAAAB8r0m7N2M13LnlwAhh_U8KsB,6629446122764020481,I am. Thanks!,100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1580583125918,,
100030845613112,1580583078205,mid.$cAAAAB8r0m7N2M10RPVwAhfL_ptAM,6629445930207072268,Good.  Hope you are.,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1580583078205,,
100030845613112,1580583024499,mid.$cAAAAB8r0m7N2M1w_c1wAhb3bQ5nI,6629445701963323848,You can now call each other and see information like Active Status and when you've read messages.,100030845613112,,1,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1580583024499,,
100030845613112,1580583024443,mid.$cAAAAB8r0m7N2M1w_O1wAhbyv0_GK,6629445696939618698,"Hey, how are you?",100030845613112,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,3,0,0,1,,,1580583024443,,
100030845613112,1580582947430,mid.$cAAAAB8r0m7N2M1sSZlwAhXL6muVm,6629445380366591334,Hi there!,100046799400843,,0,80,2,2,0,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,1,,,1580582947430,,
