Z_PK,Z_ENT,Z_OPT,ZCACHEDCATEGORY,ZDELIVERED,ZEXPECTSREADCONFIRMATION,ZISEXPIRED,ZISOBFUSCATED,ZNEEDSLINKATTACHMENTSUPDATE,ZNEEDSTOBEUPDATEDFROMBACKEND,ZHIDDENINCONVERSATION,ZQUOTE,Z8_QUOTE,ZSENDER,ZVISIBLEINCONVERSATION,ZISDOWNLOADING,ZTRANSFERSTATE,ZUPLOADSTATE,ZVERSION,ZLINKPREVIEWSTATE,ZISANIMATEDGIF,ZMEDIUMDATALOADED,ZORIGINALDATAPROCESSED,ZALLTEAMUSERSADDED,ZNEEDSUPDATINGUSERS,ZNUMBEROFGUESTSADDED,ZRELEVANTFORCONVERSATIONSTATUS,ZSYSTEMMESSAGETYPE,ZPARENTMESSAGE,ZDESTRUCTIONDATE,ZEXPIRATIONDATE,ZSERVERTIMESTAMP,ZPROGRESS,ZUPDATEDTIMESTAMP,ZDURATION,ZMESSAGETIMER,ZNORMALIZEDTEXT,ZSENDERCLIENTID,ZIMAGETYPE,ZTEXT,ZTEXT1,ZLINKATTACHMENTS,ZMODIFIEDKEYS,ZNONCE_DATA,ZASSETID_DATA,ZASSOCIATEDTASKIDENTIFIER_DATA,ZPREPROCESSEDSIZE_DATA,ZMEDIUMREMOTEIDENTIFIER_DATA,ZORIGINALSIZE_DATA
1,13,1,0,0,,0,0,0,0,,,,1,1,,,,,,,,,,,0.0,1.0,15.0,,,,606707908.6277121,,,0.0,0.0,,,,,,,,b'\x10M\x8d\xe4I\xeaD\x0e\x91NymBf\x03[',,,,,
2,10,2,1,1,0.0,0,0,0,0,,,,1,2,,,,,0.0,,,,,,,,,,,,606707978.165,,,,,,,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'\x84\xc0\xa0%\x83GF\x0e\x8ae\xc7\xe5\xbb\x1eB%',,,,,
3,10,6,2,1,0.0,0,0,0,0,,,,1,1,,,,,0.0,,,,,,,,,,,,606879330.21,,,,,i like this app it is straight forward  ,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x13\x14\x15U$null\xd2\r\x0e\x0f\x12ZNS.objectsV$class\xa2\x10\x11\x80\x02\x80\x03\x80\x04WdataSet_\x10\x10linkPreviewState\xd2\x16\x17\x18\x19Z$classnameX$classesUNSSet\xa2\x18\x1aXNSObject\x08\x11\x1a$)27ILQSY_dovy{}\x7f\x87\x9a\x9f\xaa\xb3\xb9\xbc\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc5',"b'zD""\xe5\xb1\x9cBs\x99\xbd\xb4\xd9\x05\xc8W\xa5'",,,,,
4,10,3,2,1,,0,0,0,0,,,,2,1,,,,,0.0,,,,,,,,,,,,606879432.3510001,,,,,i do too  ,84a49035f8335c60,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'\x9e\xb1\xa9x%%D \x87\xe1)\x02RZ\x18\xa6',,,,,
6,10,2,1,1,0.0,0,0,0,0,,,,1,2,,,,,0.0,,,,,,,,,,,,606879436.237,,,,,,,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'w4\xda\xa5\x91\xb7I\xe5\xbe{\xd4\xee\xd3\xf2`<',,,,,
7,10,3,2,1,,0,0,0,0,,,,2,1,,,,,0.0,,,,,,,,,,,,606879492.5309999,,,,,what are you doing,84a49035f8335c60,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'\x81\x8c\xa3\xc1\x1f&A3\x939<N>q\xe9a',,,,,
9,10,2,1,1,0.0,0,0,0,0,,,,1,2,,,,,0.0,,,,,,,,,,,,606879496.3469999,,,,,,,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'-_\x03$C\x04B\xec\x99nB\xb1K\x88z;',,,,,
10,10,5,2,1,0.0,0,0,0,0,,,,1,1,,,,,0.0,,,,,,,,,,,,606879589.556,,,,,i am watching summer house these people aresomething else ,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x13\x14\x15U$null\xd2\r\x0e\x0f\x12ZNS.objectsV$class\xa2\x10\x11\x80\x02\x80\x03\x80\x04WdataSet_\x10\x10linkPreviewState\xd2\x16\x17\x18\x19Z$classnameX$classesUNSSet\xa2\x18\x1aXNSObject\x08\x11\x1a$)27ILQSY_dovy{}\x7f\x87\x9a\x9f\xaa\xb3\xb9\xbc\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc5',b'F\xc6(\x8aG\xb9JR\x86U\x13\x9f\x11JyK',,,,,
11,10,3,2,1,,0,0,0,0,,,,2,1,,,,,0.0,,,,,,,,,,,,606879728.0929999,,,,,did you watch the joe exotic thing,84a49035f8335c60,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x11U$null\xd2\r\x0e\x0f\x10ZNS.objectsV$class\xa0\x80\x02\xd2\x12\x13\x14\x15Z$classnameX$classesWNSArray\xa2\x14\x16XNSObject\x08\x11\x1a$)27ILQSW]bmtuw|\x87\x90\x98\x9b\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa4',b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'\x86\xdf\xbegtgDL\x8bu\xb4\x83\x930\x13\xf0',,,,,
13,10,2,1,1,0.0,0,0,0,0,,,,1,2,,,,,0.0,,,,,,,,,,,,606879731.78,,,,,,,,,,,b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa4\x0b\x0c\x12\x13U$null\xd2\r\x0e\x0f\x11ZNS.objectsV$class\xa1\x10\x80\x02\x80\x03WdataSet\xd2\x14\x15\x16\x17Z$classnameX$classesUNSSet\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSX^cnuwy{\x83\x88\x93\x9c\xa2\xa5\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xae',b'\xedp\xb6$\x1bnI\xf5\xb1\tmN\xfe/\xb3V',,,,,
