Z_PK,Z_ENT,Z_OPT,ZFILELENGTH,ZFLAGS,ZHEIGHT,ZSORT,ZWIDTH,ZSTICKERPACK,ZMEDIAKEYTIMESTAMP,ZDIRECTPATH,ZEMOJIS,ZENCFILEHASH,ZFILEHASH,ZIMAGEHASH,ZMIMETYPE,ZRELATIVEIMAGEPATH,ZSALTEDFILEHASH,ZURL,ZMEDIAKEY
11,4,1,12782,0,512,6,512,14,,/v/t61.21164-24/74785766_603870160443179_5826615931356044549_n.enc?oh=1909a3ac543aeb844acc403442a71c65&oe=DB5C059C,💔 👎,OOgzvDZfcpPo8etZlitT8J7yeopMin18mEd6vP59rlQ=,AGPB7Vnhnd3RtkCmidNcpfWityDQTiyMNW95o1QAkWg=,yy/U1rVAEPJcu5aUaPLD1gS/2ze2Dq11PEwh6HQ090E=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/7d904327-f8c7-4323-88c7-dd9c1e3057d5.webp,4e092fc0fb03e4c779dc125881fa89273ddac61a2a8e1bb988a4bbcf87b78e5f,https://mmg-fna.whatsapp.net/d/f/AuNLiGMKwmtODMhxeFyVNH_qRI8Va6A_u3M_me11X7Y7.enc,"b""\xadz\xed\xaf\xfc\x9af\x12\xfe'\x1c\xf9\xc1&m\x8fA\xac\xed\x1f\xa4>\x91!\x19{\xedr\x8eZ\n\xd2"""
12,4,1,9672,0,512,1,512,14,,/v/t61.21164-24/71169102_565063080742456_7710752100358005040_n.enc?oh=c306c8761392b062345b21ac391ed3c9&oe=C9B79A06,😄 😀,hHizKoPhUw2GPGjNU8RNl+XKMwkbPlUZOCpjkVwph2U=,RZEEl5HVWT4S6C0PoOgjYCQVDWs5esIMJsjcDYI80ZE=,TRwTfvLFeVwTQoYHWSA/wmcxcP/DvGzD4Ukryh2Zn/o=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/1f02013d-c852-45c4-a0b7-4a4dff9d1d95.webp,de7da278239f3bb32eaa375ac088f31a87a3611513f3699904fbf1a76bd030e3,https://mmg-fna.whatsapp.net/d/f/AmR0A31yfn--mShqKKNsHvr8LsQla_qf8yE5vDOGe0Dx.enc,"b'\xa6""\xb2M\xdf+\xc8 \x17\x1f\x08P\xb5y\'\xc5\x89\xaa\xb4(L\x88\x88\xff=\x90\x0f\x7fP\x12/\xaf'"
13,4,1,12696,0,512,22,512,14,,/v/t61.21164-24/73431757_2731891300210715_3748027319936092864_n.enc?oh=f1750a5c5b7465f8a9cfbd2f218f4aba&oe=D6827240,🍵 😌,aTgvilP3aSLQPg+zOkiCpj0RiQ+FFVzsvicO4FjviVY=,zWIntfn/2OA3Rbhe4nMS9xnK7a8M9WpasYBjDjiy4K8=,wFHfTQVg8MQHLId9+VyoTvR0QEzMSXEAuXFDwy0mGPM=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/fce69a11-64d9-4ffd-aaed-fb4ae9627f79.webp,e6f35a9ac243d2479d0e36859f1c1aa0e5a2b34634214c73eb243f8de1b025fd,https://mmg-fna.whatsapp.net/d/f/AuPF1QziDTJnB0QjBVUw6CZQ4Ktfv4oobi3yB-J7VuD9.enc,b'\xc5\xf3\xcc\xe0\xd5\x0e\x9bG\x19\xd3\xec}y=!Rt0\xb0\xce\xdb-A~\xbe\x8f\xa6\xaa\x90 \xd9\xe8'
14,4,1,9756,0,512,7,512,14,,/v/t61.21164-24/75262039_1494470754043219_5452125576040447577_n.enc?oh=0e5b5417331ad29f40d72562a0cf9088&oe=D1562BE1,😍 💑,8krE2Rqh4XZt1CGNbzvuoJgaB84vGfB6xonZQNzme+k=,tn7yEyczPI7/4qJj5TeSa7Cw9e8+cH0JOtUuhLKjW3Y=,9/e6x4N8Rn+228aw8G8mIxyDs3HFJuyDQ3OVWR5/0ZA=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/614f9357-6c24-426b-898a-d777e2d039b0.webp,9f9442e8160fdf220bf2544df45c9a864443ed71f6d3c94058f0c9c6c40353d5,https://mmg-fna.whatsapp.net/d/f/AifRq4vCsQOyAWMQVUvKiefkxxJsphHIlyxjH4MrAgqM.enc,b'&)d:\x14\xc6/>\xaa\x17\xc7~\xa4\xce\x95U\x8dH\x0c\xb5\xe9+Urn\xeb]\xb3<\xe7\xeb\xfd'
15,4,1,13404,0,512,10,512,14,,/v/t61.21164-24/74642783_528985751303360_6280281485933964005_n.enc?oh=7e7002df51687cc3b6786603eeed02a6&oe=D73F6351,😱 😵,gH1sKnoYlMSAh2CaI9Hweb8s87XrPRWnK2i61IbbkFc=,wJggp7z+m8EEB4UKz0jQ6M4FNiHyCxo1dmtP9nEnS2g=,FKerp69v8wbQL1wzkbC2s2nhfJmOrvivMFcCv0PFe10=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/e1e8fbab-0c6a-4d52-95cf-d3cb9e12d0f8.webp,913de37616bc2a118b9a140523c7309e4e2ff2300643724e1e0e34b074777559,https://mmg-fna.whatsapp.net/d/f/AqnWZ2RJwbN2w-L_4k9DiXoIU8x9RuB9u1s0StZp8M3o.enc,b'^\xae\xe6y\x854\x05sQ\xa3\x96\xc78s\x18v+&z\xfe(\xbe;\xfd\xb9$E6\xbe\x8c\xa1D'
16,4,1,16208,0,512,23,512,14,,/v/t61.21164-24/71169347_187664679094643_6687428179966980500_n.enc?oh=0790ab451a8a1df75d46958c6d3e0f62&oe=D95DA38C,📱 😦,pAcc2JO+KYJkHtdw+dxvyQQmg2v8+K+QreXArQKkLww=,IuG6dk1m8sSt9INiGJ01N2ZeC901cZ/ud9Hcrz8QIZE=,48toOvo+FSfNSaR0i/yJ6vGLQ7K9vY0tj+PDOiB8ZsA=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/b4ad14d1-3fde-48d2-880a-9f5efd591edd.webp,b259c84bc5704c403ea11503e0accf56ff6b6a104f4b1c1dce73c1c549fa3075,https://mmg-fna.whatsapp.net/d/f/Aj31O16OctNZ-X5wQ5H6MOVHCOaECdXUqNqIzLt6K89p.enc,b':[\xbcWv\xdc\xf7\xa3an\xfe\xb7\x85\x92\x9dP\xe9\x9d\xfb`\xc5\x02\x99\xf0&\xe3\xa75\xef\x8fa\x15'
17,4,1,11534,0,512,19,512,14,,/v/t61.21164-24/75433095_2687702707984880_4834635164092565048_n.enc?oh=c643a598f0387cab70bfe159b994793d&oe=C9546BB6,🤮 👎,YiXkzrIowwi466rFvOwvs6+qeJ6bmGLz1hlt/IV+2dg=,rt8qjiK0afdcFfq6xaCwiUSjoQpPvQvikt8P5kDTe1w=,vVabjLUN7ILOgtWxAvk/0JX4XIRT8TBA1+uFBo81dMs=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/8af001ed-e6bc-409e-8acc-706e798f5344.webp,3c00a5f7e796e099f53ef6bf1471397c8fe565a588a2928da0f0573d8ef7d58e,https://mmg-fna.whatsapp.net/d/f/Ao_9X29Iws2X5MIaddPgj3quB53Hs0ni7eTB4WZUq0OQ.enc,b'<Z7\xfav\x1c+\xc4\xd3\xd1r\xb9x*\x8dS6\xce\x94\xd3\xff\x80+\x04w\x1d\xb9\xb5\x8b\x91\x07\xdf'
18,4,1,15108,0,512,8,512,14,,/v/t61.21164-24/73492399_455933071769762_923382799458658149_n.enc?oh=7db6c568fd5544de7d8fe116aa31bd5e&oe=C240F93E,😘 🍪,ZbogOISDlPY96atvf6QXN8YaPEr5Myr2A8GdlRxdvfs=,OEA8n/Dt2xtCqTtU3/IIi3IzqLFhblE2ZD5wZfE1vNg=,MY4HhbonbpgRE3omQnzDH/pvIaqEvxHU3DjCryS8eUg=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/b52848a9-6ff6-470f-9e7c-b973be34540b.webp,f63786316b967a09cf8f3a626509541a970416c330c49940350b3f4578dc61bd,https://mmg-fna.whatsapp.net/d/f/AsXuhn6atKCdhV0Qdna7B6IpvOJunop_e1ERwMVFHTVk.enc,b'\xab\x8f\xc7\xc2m\xf0\xda\xf3\xb1\xb6\xb8\xe1\x1a\x1a\x8f\xf6\xbc\xd55x\xca\xf02X\\\xf4V6b+\xacU'
19,4,1,11312,0,512,20,512,14,,/v/t61.21164-24/73440357_117164639799638_5681156139287057541_n.enc?oh=a317496bcc62d3d0a58d2e029ba7fc65&oe=C3E1B2EA,🖐 🙋,7y1KCAZ15D6omj/iEtHK+86waaxoAEyGtUpLvNoStgQ=,z4eka4aXp7ksZ3Gh/VsDcPYE3+DrJccbA9KeCz0pNy8=,ifG4XE+p7swrPo5rfgVN0nSIFDYSfEIO+gfq4vZRYcg=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/0b65d1e5-51f8-4c03-b632-7f0b9d8e1e23.webp,187c0bfc6d74257964bff8a669c673a42153815bf1edbb0778ff902179a9723e,https://mmg-fna.whatsapp.net/d/f/AlpcZyOi3s9WX7lfz7wqDripmiYXC4o0NNlYslAvDbk2.enc,b'\x92A\t}\xba\xae\x02\xc3\x80\xa4\x93\\\xe1\x8b\x96\xca\xc6a\xcc\x88\xcd\x1b\xa3\x00\xa1\xd5\xb3\xc0\x90\x1b\xbb\xa2'
20,4,1,10624,0,512,12,512,14,,/v/t61.21164-24/74656153_168745807841920_7228993635389554210_n.enc?oh=37b983f1759ac77f563e5953fc81c432&oe=C7AD6B2B,❓ 🤔,mRIk9/T+CKQbtL1M3lr9jTu9YiMxGENMh+QiUzU/PWE=,gCognx4uHW7o8sfEIC7JyQBU88cG95Dq11I8dz4OtlY=,JGijCfhASMT9j53+MtmCPy0f71XVe4t68WWulkrZs5Q=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/5af7a94a-8eb4-48b8-873e-b5d8e8466448.webp,6decac1c083d6d7abb365d0c6dcc8ea4abd84fc7df3abc695aafb09b913b2346,https://mmg-fna.whatsapp.net/d/f/AnfEd8GITm6d9ziyHKLEMIQqKImzVxfpuVtyZzKoAqmz.enc,"b'\xb6\xa5\xf3l\xc1\xc6\n\xe6::X\x0b\x82\x8a!\xcf\xd5Oy\xaa\x8e\x1d\xfe\xb5\x85\xc7,\xe9G\xa5$\xe3'"
21,4,1,11208,0,512,3,512,14,,/v/t61.21164-24/70487267_1030126190696097_4777362101801100069_n.enc?oh=b3f26fc52161fb096ccf0c1feeafe54e&oe=CE1DE0D3,😩 😰,lsuNo9imLGLtwCUi91t6OexiGb0DI+5PPIW70Pd+5DM=,KSAuNk1Tt5ERVm5IyZTUeBkVyaXbPacfVeSgkDAMgz0=,itaBiFgNTmzHEuZDGtaV+jPDpRBORYPGluV3kEDcsIU=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/20549b53-2e8c-4287-a33a-6ae04a1bda2a.webp,1c9fefeb8c4b1add24e3b2a3eddc28d67a232a05aaa6c8f15aba018a46ee07c4,https://mmg-fna.whatsapp.net/d/f/AlepQ2-0opanEsWuGkic02F2rPa9MveXGCJGTuOuRiuJ.enc,"b""#\xc7\xc8O\x12\xb4 #\xbc>fY\xde\x07#\xafY\xb4[q\x8a\t@\xf0\xa0\xb6\xa8W'\x93\xd4K"""
22,4,1,11820,0,512,11,512,14,,/v/t61.21164-24/74763120_116344299640931_5882532942239713213_n.enc?oh=17343fef98d9e6682e4b4db29c1e5f59&oe=CA906B2D,😡 😠,giK2P1QKkcM6MNwfFHj5492tgeOWTKfNlKJEvDPzVdg=,OEGxWiqaSVHm0Zs0YOaV2FpkcHuX5tqeZSUBL31GYv0=,RdWkabrGlGHRXwp+Mafzv5rMq0eT/gcPS6uXNZrLu2o=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/fd1c61ad-bce5-430d-9f21-e7601bf6b990.webp,0813df56281b599d5d413ec8c458f751ab9b87d445df246fdcc5df28044ac302,https://mmg-fna.whatsapp.net/d/f/An8FRKnxTFLkSa5N9sMbk2xTqsV0VcdQzzjlHXX9fxaH.enc,"b'7\x99-E\x8bK<\xee/6-\xd2uP{\x1c\x81m1\xa5m[""\xab\x1a\xc3<\xfa\x9f\x81\xb6\x93'"
23,4,1,12452,0,512,15,512,14,,/v/t61.21164-24/75504713_105173277600464_1042119653213409269_n.enc?oh=cb63f2992353d8add9296576db4d50c2&oe=C116752C,😡 😤,VbdGJmBumZn3ipXxfmo8u3Q6gHvBcVRfNvF2awSsqEQ=,cyVBc2Hwne4lTGZAgPTZMQane+PhbmA0suotCYTiGNs=,Kd5neo5MF5tSAKJ8z+VP1Tv2xhcHhqa2DNiksIkCqOE=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/19dc544a-2c57-4dd8-8f86-97ad09e47ac4.webp,2f2386fac3fa3bb934321edca51bb0498f129c1eb1a3d516e81d21aaa4b079d5,https://mmg-fna.whatsapp.net/d/f/Aix7PREKjIbQiYY0UOc-ndeotSOXcW4_lMtZUZ7Jztvw.enc,b'E\xbe\xaa\xd2\xe2H\xb7\x96\x01\xff\xdd\x99\x8b\xe20\xb1u\xe9\xb3|\xb0\xa2\xeaXB\x9ag\x1a\x92\xa8\x06k'
24,4,1,11130,0,512,16,512,14,,/v/t61.21164-24/73430894_2545431669008457_6381641636265550248_n.enc?oh=118d010dd1a5bc970587d6919248a82a&oe=D41EDC56,😩 😨,4d4Poevn+e7agJTtLEj5cF1eALAOnCMYQizwy/o1RwQ=,53Jr5Nou5rNGPiwnf8ZM/n+P2SnhrDhrcW7TVAIRHJE=,01ufRDTL2oMkY293a299l2xx5eyW/1adfbjV43FNNlY=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/6a3fe4a2-c4fb-43a8-809b-259935ac93f4.webp,7dbca65f32642ad1c428d39c27388e59649d0dcfc545592ecef4589dcced12e7,https://mmg-fna.whatsapp.net/d/f/AtaT3SxF5H6nbmvh96ogl8GUsAniFfoL1NgPr39sAgBL.enc,"b'\xb4""9\xe5\xadR\xb5}\x87\xdb9krd}\x12\x19p\xdb\xbf\xd7\x03\xed\xd7\x17\x10\xe1SP\xdf)\xd0'"
25,4,1,8764,0,512,14,512,14,,/v/t61.21164-24/75303509_1026143521096745_8508491904148619853_n.enc?oh=e05ae978c29fbc5c1b89dcb17322a7c8&oe=D2DE99A7,💻 😩,VVye91ZxP4FMo6DZTzQZq0LX6r5y2pMMjaJpElhu/EM=,uS1Dgzu5d4LNEtd/sW19m5wtk/qsV7H7Y7u43lujeGU=,QmtJITLX4iuQw9nITgtbT/053/NRTpHXgMrHmg0v/fg=,image/webp,91464c92a1e65c878362771dd0661b05d8ac5c2488087eaf7fbef6d7b4e923f9/1f384a6c-4cbe-4b84-872d-30c7ff3a3578.webp,42bb4b11beaae3070d77dba7b781e58206a431d2de4533e4b781d98cfdbcf3ae,https://mmg-fna.whatsapp.net/d/f/AmgK4iEXGIBkNZV0zCnyipOK8j4Q2gEXL8wlJe0h5kPs.enc,b'\x83Q\x06\xa07\xdd\xc6\x8b\xcf\xb8d\xf0\xa4\xd8\x81\xeb\xf7U\xaf\x8c\xfc/T\x1fM\x9b\xb3\xbc\x83|w\xd9'
