Z_PK,Z_ENT,Z_OPT,ZSORTORDER,ZIDENTIFIER
1,6,163,0,HKDisplayCategoryIdentifierHearing
2,6,58,0,SuggestedActions
3,6,67,0,HKDisplayCategoryIdentifierHeart
4,6,31,0,HKDisplayCategoryIdentifierReproductiveHealth
5,6,26,0,HKDisplayCategoryIdentifierOther
6,6,75,0,HKDisplayCategoryIdentifierVitalSigns
7,6,41,0,HKDisplayCategoryIdentifierBodyMeasurements
8,6,52,0,HKDisplayCategoryIdentifierSleep
9,6,58,0,HKDisplayCategoryIdentifierNutrition
10,6,19,0,HKDisplayCategoryIdentifierMindfulness
11,6,21,0,HKDisplayCategoryIdentifierRespiratory
12,6,170,0,HKDisplayCategoryIdentifierFitness
13,6,58,0,TimeScopeIdentifierDay
14,6,56,0,TimeScopeIdentifierWeek
15,6,83,0,TimeScopeIdentifierMonth
16,6,28,0,HKDisplayCategoryIdentifierHealthRecords
17,6,14,0,HKDisplayCategoryIdentifierMedications
18,6,14,0,HKDisplayCategoryIdentifierProcedures
19,6,14,0,HKDisplayCategoryIdentifierAllergies
20,6,14,0,HKDisplayCategoryIdentifierLabResults
21,6,14,0,HKDisplayCategoryIdentifierConditions
22,6,14,0,HKDisplayCategoryIdentifierClinicalVitals
23,6,14,0,HKDisplayCategoryIdentifierImmunizations
