entry_ID,version,hash_value,storage_policy,request_key,time_stamp,partition
1,0,-1921718397,0,https://app.adjust.com/session,2020-03-24 01:20:11,
2,0,5380267639186626128,0,https://app.adjust.com/sdk_click,2020-03-24 01:20:11,
3,0,-514601569,0,https://app.adjust.com/event,2020-03-24 01:20:11,
4,0,-6070411592969803169,0,https://app.adjust.com/attribution?attribution_deeplink=1&needs_response_details=1&event_buffering_enabled=0&idfv=03ED886C-5F55-47A8-86A0-6355A8F76883&created_at=2020-03-23T21%3A20%3A05.683Z-0400&app_token=u7e8ubygge4w&environment=production&idfa=0D99ABE9-B1D0-41C1-8C45-2681A498AD97&sent_at=2020-03-23T21%3A20%3A08.676Z-0400,2020-03-24 01:20:11,
5,0,1113481517,0,https://login5.spotify.com/v3/login,2020-03-24 01:20:52,
6,0,2389231211986984456,0,https://spclient.wg.spotify.com/bootstrap/v1/bootstrap,2020-03-24 01:20:52,
7,0,3175964993516337319,0,https://apresolve.spotify.com/?time=1585012846&type=accesspoint,2020-03-24 01:20:52,
8,0,767036731,0,https://spclient.wg.spotify.com/ad-logic/state/config,2020-03-24 01:20:52,
9,0,-2099091214072923829,0,https://spclient.wg.spotify.com/ads/v2/config?payload=eyJ1c2VyX2FnZW50IjoiTW96aWxsYVwvNS4wIChpUGhvbmU7IENQVSBPUyAxM18zXzEgbGlrZSBNYWMgT1MgWCkgQXBwbGVXZWJLaXRcLzUzNi4yNiAoS0hUTUwsIGxpa2UgR2Vja28pIFZlcnNpb25cLzYuMCBNb2JpbGVcLzEwQTUzNTVkIFNhZmFyaVwvODUzNi4yNSBTcG90aWZ5XC84NTQ5MDExMjMgKDM2OyAyOyAzKSIsInNlc3Npb25faWQiOiIxYTg5MWQ5OC02YTY1LTQ4YWUtODk4MS0wOTkxNGEyYjBlYTIifQ==,2020-03-24 01:20:52,
10,0,-1273225151,0,https://spclient.wg.spotify.com/metadata/4/tracks?country=US&product=shuffle,2020-03-24 01:20:52,
11,0,-994600804,0,https://spclient.wg.spotify.com/abba-service/v1/resolve?format=json,2020-03-24 01:20:52,
12,0,1227114692,0,https://spclient.wg.spotify.com/metadata/4/artists?country=US&product=shuffle,2020-03-24 01:20:52,
13,0,23035200,0,https://spclient.wg.spotify.com/device-capabilities/v1/capabilities?device_type=smartphone&client_id=&product_id=&device_model=&device_brand=,2020-03-24 01:20:55,
14,0,-227463473,0,https://spclient.wg.spotify.com/partner-userid/encrypted/crashlytics,2020-03-24 01:20:55,
15,0,1341662781,0,https://spclient.wg.spotify.com/metadata/4/albums?country=US&product=shuffle,2020-03-24 01:20:55,
16,0,-94755712,0,https://spclient.wg.spotify.com/sponsoredplaylist/v1/sponsored,2020-03-24 01:20:55,
17,0,-2002331033,0,https://spclient.wg.spotify.com/quicksilver/v2/triggers,2020-03-24 01:20:55,
18,0,-1025398141,0,https://spclient.wg.spotify.com/sellout/v3/upsell/promoted_offer?device_id=62c0d8efaf83241184a763535bb4ef17,2020-03-24 01:20:55,
19,0,733140907,0,https://spclient.wg.spotify.com/ad-logic/flashpoint,2020-03-24 01:20:55,
