state,areaCode,city
Alabama,205,Acmar
Alabama,205,Adamsville
Alabama,205,Adger
Alabama,205,Akron
Alabama,205,Alabaster
Alabama,205,Alden
Alabama,205,Aliceville
Alabama,205,Allgood
Alabama,205,Alton
Alabama,205,Altoona
Alabama,205,Amsouth Bank
Alabama,205,Arley
Alabama,205,Ashville
Alabama,205,Atwood
Alabama,205,Avondale
Alabama,205,Bankston
Alabama,205,Barney
Alabama,205,Bazemore
Alabama,205,Bear Creek
Alabama,205,Beaverton
Alabama,205,Belk
Alabama,205,Berry
Alabama,205,Bess
Alabama,205,Bessemer
Alabama,205,Bexar
Alabama,205,Bham
Alabama,205,Birmingham
Alabama,205,Blossburg
Alabama,205,Blount Springs
Alabama,205,Blountsville
Alabama,205,Blue Cross-shield
Alabama,205,Bluff
Alabama,205,Bluff Park
Alabama,205,Boligee
Alabama,205,Branchville
Alabama,205,Brent
Alabama,205,Brierfield
Alabama,205,Brighton
Alabama,205,Brilliant
Alabama,205,Brookside
Alabama,205,Brookwood
Alabama,205,Buhl
Alabama,205,Burnwell
Alabama,205,Butler
Alabama,205,Cahaba Heights
Alabama,205,Calera
Alabama,205,Caller Boxes
Alabama,205,Carbon Hill
Alabama,205,Cardiff
Alabama,205,Carrollton
Alabama,205,Center Point
Alabama,205,Centreville
Alabama,205,Chelsea
Alabama,205,Clanton
Alabama,205,Clay
Alabama,205,Cleveland
Alabama,205,Clinton
Alabama,205,Coal City
Alabama,205,Coal Fire
Alabama,205,Coalburg
Alabama,205,Coaling
Alabama,205,Coatopa
Alabama,205,Cochrane
Alabama,205,Coker
Alabama,205,Columbiana
Alabama,205,Concord
Alabama,205,Cook Springs
Alabama,205,Cordova
Alabama,205,Cottondale
Alabama,205,Crestline
Alabama,205,Crestline Heights
Alabama,205,Cromwell
Alabama,205,Cropwell
Alabama,205,Cuba
Alabama,205,Cypress
Alabama,205,Delmar
Alabama,205,Detroit
Alabama,205,Dixiana
Alabama,205,Docena
Alabama,205,Dolomite
Alabama,205,Dora
Alabama,205,Double Spgs
Alabama,205,Double Springs
Alabama,205,Duncanville
Alabama,205,Eastside
Alabama,205,Echola
Alabama,205,Eden
Alabama,205,Eldridge
Alabama,205,Elliotsville
Alabama,205,Elrod
Alabama,205,Emelle
Alabama,205,Empire
Alabama,205,English Village
Alabama,205,Ensley
Alabama,205,Eoline
Alabama,205,Epes
Alabama,205,Ethelsville
Alabama,205,Eutaw
Alabama,205,Fairfield
Alabama,205,Fayette
Alabama,205,Fernbank
Alabama,205,Forestdale
Alabama,205,Fosters
Alabama,205,Fulton Springs
Alabama,205,Fultondale
Alabama,205,Gainesville
Alabama,205,Gardendale
Alabama,205,Geiger
Alabama,205,Glen Allen
Alabama,205,Glen City
Alabama,205,Goodsprings
Alabama,205,Gordo
Alabama,205,Gravleeton
Alabama,205,Grayson
Alabama,205,Grayson Valley
Alabama,205,Graysville
Alabama,205,Green Pond
Alabama,205,Guin
Alabama,205,Hackleburg
Alabama,205,Haleyville
Alabama,205,Hamilton
Alabama,205,Harpersville
Alabama,205,Harrisburg
Alabama,205,Havana
Alabama,205,Hayden
Alabama,205,Helena
Alabama,205,Highland Lake
Alabama,205,Hodges
Alabama,205,Holt
Alabama,205,Homewd
Alabama,205,Homewood
Alabama,205,Hoods Crossroads
Alabama,205,Hoover
Alabama,205,Hopewell
Alabama,205,Horton
Alabama,205,Houston
Alabama,205,Hueytown
Alabama,205,Huffman
Alabama,205,Indian Springs
Alabama,205,Indian Springs Village
Alabama,205,Irondale
Alabama,205,Jachin
Alabama,205,Jasper
Alabama,205,Jefferson Park
Alabama,205,Jemison
Alabama,205,Kansas
Alabama,205,Kellerman
Alabama,205,Kennedy
Alabama,205,Kimberly
Alabama,205,Kingville
Alabama,205,Knoxville
Alabama,205,Lake View
Alabama,205,Lavaca
Alabama,205,Leeds
Alabama,205,Liberty Highlands
Alabama,205,Lincoln
Alabama,205,Lisman
Alabama,205,Livingston
Alabama,205,Locust Fork
Alabama,205,Lynn
Alabama,205,Margaret
Alabama,205,Marvel
Alabama,205,Maylene
Alabama,205,Maytown
Alabama,205,Mc Calla
Alabama,205,Mc Shan
Alabama,205,Mcmullen
Alabama,205,Midfield
Alabama,205,Millport
Alabama,205,Montevallo
Alabama,205,Moody
Alabama,205,Morris
Alabama,205,Moundville
Alabama,205,Mount Hebron
Alabama,205,Mount Olive
Alabama,205,Mountain Brook
Alabama,205,Mulga
Alabama,205,N Port
Alabama,205,Natural Bridge
Alabama,205,Nauvoo
Alabama,205,Needham
Alabama,205,New Castle
Alabama,205,North Johns
Alabama,205,North Port
Alabama,205,Northport
Alabama,205,Nport
Alabama,205,Oakman
Alabama,205,Odenville
Alabama,205,Oneonta
Alabama,205,Overton
Alabama,205,Oxmoor House
Alabama,205,Palmerdale
Alabama,205,Panola
Alabama,205,Parisians Inc
Alabama,205,Parrish
Alabama,205,Pelham
Alabama,205,Pell City
Alabama,205,Pennington
Alabama,205,Peterson
Alabama,205,Phil Campbell
Alabama,205,Pinson
Alabama,205,Pizitz
Alabama,205,Pl Grove
Alabama,205,Pleasant Grove
Alabama,205,Praco
Alabama,205,Progressive Farmer
Alabama,205,Quinton
Alabama,205,Ragland
Alabama,205,Ralph
Alabama,205,Reform
Alabama,205,Regions Bank
Alabama,205,Remlap
Alabama,205,Riderwood
Alabama,205,Riverchase
Alabama,205,Riverside
Alabama,205,Roebuck Plaza
Alabama,205,Romulus
Alabama,205,Rosa
Alabama,205,Rose Hill
Alabama,205,Ruffner
Alabama,205,S S Payment Ctr
Alabama,205,Saginaw
Alabama,205,Samantha
Alabama,205,Saragossa
Alabama,205,Sayre
Alabama,205,Searles
Alabama,205,Shannon
Alabama,205,Shelby
Alabama,205,Shoal Creek
Alabama,205,Siluria
Alabama,205,Sipsey
Alabama,205,Skyland
Alabama,205,Snead
Alabama,205,South Highlands
Alabama,205,South Trust Bank
Alabama,205,Southern Living
Alabama,205,Springville
Alabama,205,Stansel
Alabama,205,Sterrett
Alabama,205,Stewart
Alabama,205,Straight Mountain
Alabama,205,Sulligent
Alabama,205,Sumiton
Alabama,205,Sumterville
Alabama,205,Sylvan Springs
Alabama,205,Tarrant
Alabama,205,Thorsby
Alabama,205,Townley
Alabama,205,Trafford
Alabama,205,Trussville
Alabama,205,Tuscaloosa
Alabama,205,Vance
Alabama,205,Vandiver
Alabama,205,Verbena
Alabama,205,Vernon
Alabama,205,Vestavia
Alabama,205,Vestavia Hills
Alabama,205,Vincent
Alabama,205,Walnut Grove
Alabama,205,Warrior
Alabama,205,Watson
Alabama,205,Wattsville
Alabama,205,Wenonah
Alabama,205,West Blocton
Alabama,205,West Greene
Alabama,205,Westover
Alabama,205,Whites Chapel
Alabama,205,Whitfield
Alabama,205,Wilsonville
Alabama,205,Wilton
Alabama,205,Winfield
Alabama,205,Woodstock
Alabama,205,Yantley
Alabama,205,York
Alabama,251,Allen
Alabama,251,Alma
Alabama,251,Aquilla
Alabama,251,Atmore
Alabama,251,Axis
Alabama,251,Barlow
Alabama,251,Bassetts Creek
Alabama,251,Bay Minette
Alabama,251,Bayou La Batre
Alabama,251,Beatrice
Alabama,251,Bell Fountain
Alabama,251,Belleville
Alabama,251,Bigbee
Alabama,251,Bladon Springs
Alabama,251,Bolinger
Alabama,251,Bon Secour
Alabama,251,Brewton
Alabama,251,Bromley
Alabama,251,Brookley Field
Alabama,251,Brooklyn
Alabama,251,Bucks
Alabama,251,Buena Vista
Alabama,251,Burmuda
Alabama,251,Burnt Corn
Alabama,251,Calvert
Alabama,251,Canoe
Alabama,251,Carlton
Alabama,251,Carson
Alabama,251,Castleberry
Alabama,251,Chastang
Alabama,251,Chatom
Alabama,251,Chickasaw
Alabama,251,Chrysler
Alabama,251,Chunchula
Alabama,251,Citronelle
Alabama,251,Claiborne
Alabama,251,Coden
Alabama,251,Coffeeville
Alabama,251,Copeland
Alabama,251,Cortelyou
Alabama,251,Creola
Alabama,251,Cross Roads
Alabama,251,D H Holmes
Alabama,251,Damascus
Alabama,251,Daphne
Alabama,251,Dauphin Island
Alabama,251,Deer Park
Alabama,251,Diamond Shamrock
Alabama,251,Dickinson
Alabama,251,Dixonville
Alabama,251,Dotelle
Alabama,251,East Brewton
Alabama,251,Eight Mile
Alabama,251,Elberta
Alabama,251,Elsanor
Alabama,251,Evergreen
Alabama,251,Excel
Alabama,251,Fair Hope
Alabama,251,Fairhope
Alabama,251,Fannie
Alabama,251,Fellowship
Alabama,251,Firms
Alabama,251,Flomaton
Alabama,251,Foley
Alabama,251,Franklin
Alabama,251,Frankville
Alabama,251,Frisco City
Alabama,251,Fruitdale
Alabama,251,Fulton
Alabama,251,Gainestown
Alabama,251,Gateswood
Alabama,251,Gayfers
Alabama,251,Georgetown
Alabama,251,Gilbertown
Alabama,251,Goodway
Alabama,251,Gosport
Alabama,251,Grand Bay
Alabama,251,Grove Hill
Alabama,251,Gulf Crest
Alabama,251,Gulf Shores
Alabama,251,Hawthorn
Alabama,251,Hawthorne
Alabama,251,Healing Springs
Alabama,251,Heron Bay
Alabama,251,Holman Station
Alabama,251,Huggers Landing
Alabama,251,Huxford
Alabama,251,Irvington
Alabama,251,Jackson
Alabama,251,Josephine
Alabama,251,Keego
Alabama,251,Koenton
Alabama,251,Lambeth Church
Alabama,251,Lemoyne
Alabama,251,Lenox
Alabama,251,Leroy
Alabama,251,Lillian
Alabama,251,Little Brooklyn
Alabama,251,Little River
Alabama,251,Loxley
Alabama,251,Magazine
Alabama,251,Magnolia Spgs
Alabama,251,Magnolia Springs
Alabama,251,Malcolm
Alabama,251,Manila
Alabama,251,Mc Cullough
Alabama,251,Mc Intosh
Alabama,251,Mc Williams
Alabama,251,Mccullough
Alabama,251,Megargel
Alabama,251,Melvin
Alabama,251,Mexia
Alabama,251,Miflin
Alabama,251,Millry
Alabama,251,Mineola
Alabama,251,Mobile
Alabama,251,Mon Louis
Alabama,251,Monroeville
Alabama,251,Montrose
Alabama,251,Morrisons Cafeteria
Alabama,251,Mount Vernon
Alabama,251,Naval Station Mobile
Alabama,251,Oak Hill
Alabama,251,Orange Beach
Alabama,251,Oyster Bay
Alabama,251,Perdido
Alabama,251,Perdido Beach
Alabama,251,Perdue Hill
Alabama,251,Peterman
Alabama,251,Pine Apple
Alabama,251,Pine Hill
Alabama,251,Pinegrove
Alabama,251,Point Clear
Alabama,251,Pollard
Alabama,251,Prestwick
Alabama,251,Prichard
Alabama,251,Range
Alabama,251,Repton
Alabama,251,Robertsdale
Alabama,251,Rocky Hill
Alabama,251,Rosinton
Alabama,251,Saint Elmo
Alabama,251,Saint Stephens
Alabama,251,Salitpa
Alabama,251,Saraland
Alabama,251,Satsuma
Alabama,251,Scyrene
Alabama,251,Seaboard
Alabama,251,Seminole
Alabama,251,Semirah Springs
Alabama,251,Semmes
Alabama,251,Silas
Alabama,251,Silver Cross
Alabama,251,Silverhill
Alabama,251,Spanish Fort
Alabama,251,Stapleton
Alabama,251,Stockton
Alabama,251,Suggsville
Alabama,251,Summerdale
Alabama,251,Sunflower
Alabama,251,Sunny South
Alabama,251,Theodore
Alabama,251,Tibbie
Alabama,251,Toxey
Alabama,251,Turnerville
Alabama,251,Uriah
Alabama,251,Vanity Fair Mills
Alabama,251,Vernant Park
Alabama,251,Vinegar Bend
Alabama,251,Wagarville
Alabama,251,Walker Springs
Alabama,251,Wallace
Alabama,251,Ward
Alabama,251,Whatley
Alabama,251,Whistler
Alabama,251,Wilmer
Alabama,251,Yarbo
Alabama,251,Yellow Pine
Alabama,334,Abbeville
Alabama,334,Alberta
Alabama,334,Andalusia
Alabama,334,Annemanie
Alabama,334,Ariton
Alabama,334,Arlington
Alabama,334,Armstrong
Alabama,334,Ashford
Alabama,334,Auburn
Alabama,334,Autaugaville
Alabama,334,Avon
Alabama,334,Bakerhill
Alabama,334,Banks
Alabama,334,Battens Crossroads
Alabama,334,Bellamy
Alabama,334,Bellwood
Alabama,334,Benton
Alabama,334,Bertha
Alabama,334,Beulah
Alabama,334,Billingsley
Alabama,334,Black
Alabama,334,Blue Springs
Alabama,334,Bolling
Alabama,334,Booth
Alabama,334,Boykin
Alabama,334,Boys Ranch
Alabama,334,Bradley
Alabama,334,Brantley
Alabama,334,Brundidge
Alabama,334,Burkville
Alabama,334,Camden
Alabama,334,Campbell
Alabama,334,Capps
Alabama,334,Catherine
Alabama,334,Cecil
Alabama,334,Central
Alabama,334,Chance
Alabama,334,Chancellor
Alabama,334,Chapman
Alabama,334,Chestnut Grove
Alabama,334,Chisolm
Alabama,334,Clayhatchee
Alabama,334,Clayton
Alabama,334,Clio
Alabama,334,Clopton
Alabama,334,Cobbs Ford
Alabama,334,Coffee Springs
Alabama,334,Columbia
Alabama,334,Comer
Alabama,334,Coosada
Alabama,334,Cottonton
Alabama,334,Cottonwood
Alabama,334,Cowarts
Alabama,334,Coy
Alabama,334,Cusseta
Alabama,334,Daleville
Alabama,334,Dannelly
Alabama,334,Dayton
Alabama,334,Deatsville
Alabama,334,Demopolis
Alabama,334,Dixie
Alabama,334,Dixons Mills
Alabama,334,Dothan
Alabama,334,Dozier
Alabama,334,Dupree
Alabama,334,East Tallassee
Alabama,334,Echo
Alabama,334,Eclectic
Alabama,334,Edwin
Alabama,334,Elba
Alabama,334,Elmore
Alabama,334,Enterprise
Alabama,334,Eprise
Alabama,334,Eufaula
Alabama,334,Eunola
Alabama,334,Fadettes
Alabama,334,Fairfax
Alabama,334,Farmersville
Alabama,334,Faunsdale
Alabama,334,Fitzpatrick
Alabama,334,Five Points
Alabama,334,Florala
Alabama,334,Forest Home
Alabama,334,Forkland
Alabama,334,Fort Davis
Alabama,334,Fort Deposit
Alabama,334,Fort Mitchell
Alabama,334,Fort Rucker
Alabama,334,Furman
Alabama,334,Gallion
Alabama,334,Gantt
Alabama,334,Garland
Alabama,334,Geneva
Alabama,334,Georgiana
Alabama,334,Glenwood
Alabama,334,Gordon
Alabama,334,Goshen
Alabama,334,Graball
Alabama,334,Grady
Alabama,334,Grangeburg
Alabama,334,Greensboro
Alabama,334,Greenville
Alabama,334,Grimes
Alabama,334,Gunter A F B
Alabama,334,Hacoda
Alabama,334,Haleburg
Alabama,334,Hardaway
Alabama,334,Hartford
Alabama,334,Hatchechubbee
Alabama,334,Hayneville
Alabama,334,Headland
Alabama,334,Highbluff
Alabama,334,Highland Home
Alabama,334,Hodgesville
Alabama,334,Holy Trinity
Alabama,334,Honoraville
Alabama,334,Hope Hull
Alabama,334,Hurtsboro
Alabama,334,Hybart
Alabama,334,Independence
Alabama,334,Jack
Alabama,334,Jefferson
Alabama,334,Jones
Alabama,334,Kelly Springs
Alabama,334,Kent
Alabama,334,Keyton
Alabama,334,Kinsey
Alabama,334,Kinston
Alabama,334,La Nett
Alabama,334,Lafayette
Alabama,334,Lanett
Alabama,334,Langdale
Alabama,334,Lapine
Alabama,334,Lawley
Alabama,334,Lawrenceville
Alabama,334,Letohatchee
