id,uuid,title,url,user_visible_url,order_index,last_viewed_time,readinglist_bookmark_id,opened_from_link,showing_reader,reader_view_top_scroll_offset,private_browsing,displaying_standalone_image,browser_window_uuid,browser_window_id
1,40E8E562-38E1-4782-95F3-ACF3F7F166FE,Is the NHL going to resume? - Google Search,https://www.google.com/search?q=Is+the+NHL+going+to+resume%3F&ie=UTF-8&oe=UTF-8&hl=en-us&client=safari,https://www.google.com/search?q=Is+the+NHL+going+to+resume%3F&ie=UTF-8&oe=UTF-8&hl=en-us&client=safari,0,607050365.052293,0,0,0,0,0,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
2,6DE6EA6D-D682-4623-A307-2805B949CC9F,iOS Mobile Installation Logs · DFIR Review,https://dfir.pubpub.org/pub/e5xlbw88,https://dfir.pubpub.org/pub/e5xlbw88,1,-1.0,0,0,0,0,0,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
4,0D09F8B7-5CB6-4C94-AB79-3C7F45E0FCF1,"What Happened to Tiger King's Carole Baskin, Husband Don Lewis?",https://www.google.com/amp/s/www.menshealth.com/entertainment/amp31912285/tiger-king-carole-baskin-husband-don-lewis-now/,https://www.google.com/amp/s/www.menshealth.com/entertainment/amp31912285/tiger-king-carole-baskin-husband-don-lewis-now/,0,607051785.025869,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
5,7E4E73D1-4205-4C60-A781-B1D845D10B47,Ars Technica,https://arstechnica.com/,https://arstechnica.com/,1,607052771.353487,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
6,CB1F55F2-60D0-402E-9CE1-04C6AC20D41C,‎dfir.pubpub.org/pub/e5xlbw88,https://dfir.pubpub.org/pub/e5xlbw88,https://dfir.pubpub.org/pub/e5xlbw88,0,607052711.986211,0,1,0,0,0,0,DD9322F1-1D39-4074-B878-45F12FCD8DE3,2
7,D052B524-8365-4B81-8655-87735174FC06,How was an iPhone set up? · DFIR Review,https://dfir.pubpub.org/pub/2q177smo,https://dfir.pubpub.org/pub/2q177smo,2,607379019.952313,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
9,074BA2BF-13B4-4514-94B4-7AE5861285CF,iOS - Home Accessories - Apple,https://www.apple.com/ios/home/accessories/,https://www.apple.com/ios/home/accessories/,3,607625374.024899,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
10,329464C5-4E9C-4C54-8395-8148E99B62DE,‎www.fitbit.com/verifyEmail/verify?token=eyJhbGciOiJIUzI1NiJ9.eyJpZCI6IjhDWFFOSyIsImV4cCI6MTU4NTkzODE3NSwiaWF0IjoxNTg1OTMwOTc1LCJlbWFpbCI6InRoaXNpc2RmaXJAZ21haWwuY29tIn0.vU3mAK20raiqjH6XNKG9icC2YmBh6cx8LErg54dO1hQ,https://www.fitbit.com/verifyEmail/verify?token=eyJhbGciOiJIUzI1NiJ9.eyJpZCI6IjhDWFFOSyIsImV4cCI6MTU4NTkzODE3NSwiaWF0IjoxNTg1OTMwOTc1LCJlbWFpbCI6InRoaXNpc2RmaXJAZ21haWwuY29tIn0.vU3mAK20raiqjH6XNKG9icC2YmBh6cx8LErg54dO1hQ,https://www.fitbit.com/verifyEmail/verify?token=eyJhbGciOiJIUzI1NiJ9.eyJpZCI6IjhDWFFOSyIsImV4cCI6MTU4NTkzODE3NSwiaWF0IjoxNTg1OTMwOTc1LCJlbWFpbCI6InRoaXNpc2RmaXJAZ21haWwuY29tIn0.vU3mAK20raiqjH6XNKG9icC2YmBh6cx8LErg54dO1hQ,4,607632696.371496,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
11,DE509E98-E938-4733-BF36-5C6712B37542,Fitbit,https://accounts.fitbit.com/login?targetUrl=https%3A%2F%2Fwww.fitbit.com%2Flogin%2Ftransferpage%3Fredirect%3Dhttps%25253A%25252F%25252Fwww.fitbit.com%25252Foauth2%25252Fauthorize%25253Fclient_id%25253D229BT8%252526expires_in%25253D2592000%252526redirect_uri%25253Dsyncsolver%2525253A%2525252F%2525252Ffitbit%2525252Fauthorize%252526response_type%25253Dtoken%252526scope%25253Dactivity%25252Bnutrition%25252Bsleep%25252Bweight%25252Bheartrate%252526state%25253D&lcl=en_US,https://accounts.fitbit.com/login?targetUrl=https%3A%2F%2Fwww.fitbit.com%2Flogin%2Ftransferpage%3Fredirect%3Dhttps%25253A%25252F%25252Fwww.fitbit.com%25252Foauth2%25252Fauthorize%25253Fclient_id%25253D229BT8%252526expires_in%25253D2592000%252526redirect_uri%25253Dsyncsolver%2525253A%2525252F%2525252Ffitbit%2525252Fauthorize%252526response_type%25253Dtoken%252526scope%25253Dactivity%25252Bnutrition%25252Bsleep%25252Bweight%25252Bheartrate%252526state%25253D&lcl=en_US,5,607828520.497337,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
12,6CA94F95-C99B-4E81-9792-26B246C471F7,Sign In - Zoom,https://zoom.us/signin,https://zoom.us/signin,6,608736956.15698,0,0,0,0,1,0,0DFC7D93-97A0-4A51-B6CB-0CD20D747652,1
