id,parentKey,childId,duplicateKeyHash,extractionType,sourceKey,duplicateKeyHashBlob,modelVersion,modelConfidence
1,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<897677922.11396631.1584839905062@email.apple.com>,1,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'\x08\x8bT$\xf0.V\x1d\xb1%\x08\x9ffd\x84\x1d\xb4\x91\xa6\x9fx9Z\xfb\xa0V\xb1\x8f|\x05bu',0,0.5
2,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<1296701200.9885473.1584806741357@email.apple.com>,1,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'\x8c\xfb\xc0\xe7\x1f\xda\xd1\xe3lxl\x97 \x05\xe0*?\xd0!I_\xa0\x95\xba\x95zJ\x1a\x06\xd5\xb8t',0,0.5
3,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<CACr=oQH4j1de07--nDtwj9iQ_BGkUdhm60sbF=Q6DcYOGg2OvQ@mail.gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'\x12\xb3\x06\x9e[]\x9e\xee\xb7TX\x10\xb6\xfa\x1c\x886\x91~/PAg\xa0nn]\xb3C\xf0\xa7\xae',0,0.5
4,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<CACr=oQGZwdQihjo-11Od-qwvK6dRkJNF8U9r2m-L0HpiWS+wvg@mail.gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'-\x7f\xd1\x9d&\xa19\x8e\xca\xb0\x18\x10\xf66b\x90\xf5c\x1f\x7f]\x01\xdf\xcar\xfeXF:\xe4\xfa\xf3',0,0.5
5,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<CACr=oQFzVhLHw__eFGrg+1TRTxbDu-UEKUJrj0Cu5XBbTzWyfg@mail.gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,"b'\xa0\xdd\x19^\xe8\x12cC\x1d<Y\xd6""\xb1)HEe!\xa6\xd7\xe5\xda\xd7\x87\xb8\x0c\xa3\xdb,HC'",0,0.5
6,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<CACr=oQHmcqe9Vnya1_W0HntB9G3zk9UwxROH70mgG6KkuCHEPw@mail.gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'{\x9dmDI\x04\x04Uf\xa8\x9f\x8c\xc9\t\xdc\x10\xdb\xdd\xfeY\x960>\xa6\xd9\x9bk\xab\xfe\xb4z\xa6',0,0.5
7,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<CACr=oQHB58mF92c3p0+2qRwwpYTJXuxU9=hDK1DeyaFNugWNEA@mail.gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'E\xdf\x10\x8c=\x8b\x8f\xe0W\xe1\x04\xe8\x1f\xaf7\xd6\xdb\xdd\xec3\xfaC(i\x9d\xffi\x16+n\xbfl',0,0.5
8,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<AAC4474F-6B35-4482-BF91-40F269862B13@me.com>,3,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'z\x18\xdbW\xf8\x1aV2\xd4\xa2\xf6v\x1e\xee\xf9\xbb&\x9eNM\xbe\\\xc9\\\x19\xf3D\xa8@sE)',0,0.5
9,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<0BDBE80B-D822-428D-B52F-29F736F3CA5C@me.com>,3,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,b'\xfbu8\x83\x9c\xb2\x86\xff\xc4U\xa3\x80Pa\x9eF\xbe\x7f\xf8\xc9v\xf0\xe8Q\xc3\xc7T\x83\x1d0$\xd5',0,0.5
44,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<72F13C5C-5430-41D5-9958-BD3F5F2F851B@gmail.com>,2,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,"b""\x08\xdc\xb7\x9b\x13PQ\t\xc1\xa9Tn'\x00\x02PG\xb8\x97\xf5\x8e!-\x1c\xe1\xd8`\x95\x8e\x94o~""",0,0.5
45,|5|\|4FD35256-CE13-47FE-9840-EBEB5B9FD9C1\|<555908245.28114315.1585163013020@email.apple.com>,1,-,0,4FD35256-CE13-47FE-9840-EBEB5B9FD9C1,"b""\xb4'\xd2\xf6\xca\x1e\xb0\xe4\xde\xc9G\xf9\xa4\xf01\x1a(<<)\x00X\xe0E\xc3\x10\x11R82\xfd\x07""",0,0.5
56,|13|\|iMessage;-;joshua.hickman1@me.com\|57633602-7DC8-4506-AA44-9F06D82CA654,3,-,2,,"b""E\x80\xa1l\x06\xf9|\x14I\xf3\xca\x1d\xd7\n\xa9\xcd\xce\xc0t\xd1\xc0\x03\xd6\x9b\xdf\xff\xf1!\xab']\xa8""",0,0.5
85,|16|\|co.babypenguin.imo\|(919) 579-0479,18,-,0,,b'\x00\xb1l\x86p\tA\x9c~!\xd2\x98\xc2\xdb\xfc\x95s\xfa%#\x85\xb13\xa1\xa7\x88J[b\xf0\x1d}',0,0.5
86,|16|\|co.babypenguin.imo\|(919) 579-0479,19,-,16,,b'\xff\x11\xe6\x83\x12\xbd\x0f\xe7\x186m\x1c\x14g\xa7\xf9\xc9D\x92P\xbb(/!\x8c\x1c\x7f\xf9\xb6i\x9f\xf9',0,0.5
87,|16|\|co.babypenguin.imo\|(919) 391-2507,20,-,0,,b'Q\x9e\x81\x95\xfcb2O0\x8b\xcb\xe4X\x96\xfb9\xa5\\\x1cBN\xad\xf7S\x8e_\x17\xe9\xb8\x0b\x82\x1a',0,0.5
88,|16|\|co.babypenguin.imo\|(919) 391-2507,21,-,16,,"b'\xc9\x8d\xa5\xfd\xbf\xb7\xfe\t_\x92\xeaJ\xee1\x92\x8c\x1d`\x06\x8f\x80\x00\xae\xd9+\x8e""G\x13\xe4Q='",0,0.5
