Z_PK,Z_ENT,Z_OPT,ZPACKAGE,ZDATA
1,7,241,com.apple.health.Education,
2,7,114,com.apple.health.ResearchApp.plugin,
3,7,3,com.apple.health.Heart,
4,7,147,com.apple.health.CloudSync,
5,7,118,com.apple.health.plugin.HealthRecords,
6,7,149,com.apple.health.Categories,
7,7,2,com.apple.health.MedicalID,
8,7,69,com.apple.health.MenstrualCycles,
9,7,239,com.apple.health.Snippets,"b'{""codableAnchor"":{""data"":""YnBsaXN0MDDUAQIDBAUGBwpYJHZlcnNpb25ZJGFyY2hpdmVyVCR0b3BYJG9iamVjdHMSAAGGoF8QD05TS2V5ZWRBcmNoaXZlctEICVRyb290gAGjCwwRVSRudWxs0g0ODxBVcm93aWRWJGNsYXNzEcyUgALSEhMUFVokY2xhc3NuYW1lWCRjbGFzc2VzXUhLUXVlcnlBbmNob3KiFhddSEtRdWVyeUFuY2hvclhOU09iamVjdAgRGiQpMjdJTFFTV11iaG9ydHmEjZuerAAAAAAAAAEBAAAAAAAAABgAAAAAAAAAAAAAAAAAAAC1""}}'"
10,7,136,com.apple.health.HighlightsHeavy,"b'{""previouslyErroredHighlights"":[],""codableAnchor"":{""data"":""YnBsaXN0MDDUAQIDBAUGBwpYJHZlcnNpb25ZJGFyY2hpdmVyVCR0b3BYJG9iamVjdHMSAAGGoF8QD05TS2V5ZWRBcmNoaXZlctEICVRyb290gAGjCwwRVSRudWxs0g0ODxBVcm93aWRWJGNsYXNzEcyUgALSEhMUFVokY2xhc3NuYW1lWCRjbGFzc2VzXUhLUXVlcnlBbmNob3KiFhddSEtRdWVyeUFuY2hvclhOU09iamVjdAgRGiQpMjdJTFFTV11iaG9ydHmEjZuerAAAAAAAAAEBAAAAAAAAABgAAAAAAAAAAAAAAAAAAAC1""},""flavorIdentifierToData"":{}}'"
11,7,152,com.apple.health.Highlights,"b'{""previouslyErroredHighlights"":[],""codableAnchor"":{""data"":""YnBsaXN0MDDUAQIDBAUGBwpYJHZlcnNpb25ZJGFyY2hpdmVyVCR0b3BYJG9iamVjdHMSAAGGoF8QD05TS2V5ZWRBcmNoaXZlctEICVRyb290gAGjCwwRVSRudWxs0g0ODxBVcm93aWRWJGNsYXNzEcyUgALSEhMUFVokY2xhc3NuYW1lWCRjbGFzc2VzXUhLUXVlcnlBbmNob3KiFhddSEtRdWVyeUFuY2hvclhOU09iamVjdAgRGiQpMjdJTFFTV11iaG9ydHmEjZuerAAAAAAAAAEBAAAAAAAAABgAAAAAAAAAAAAAAAAAAAC1""},""flavorIdentifierToData"":{""(HighlightSearchFeedItemGenerator) -> () -> HighlightSearchFeedItemGenerator"":""eyJnZW5lcmF0aW9uRGF0ZSI6NjA2NTk2NzcxLjAxMTc0Nzk2fQ==""}}'"
12,7,106,com.apple.health.HighlightAlerts,"b'{""codableAnchor"":{""data"":""YnBsaXN0MDDUAQIDBAUGBwpYJHZlcnNpb25ZJGFyY2hpdmVyVCR0b3BYJG9iamVjdHMSAAGGoF8QD05TS2V5ZWRBcmNoaXZlctEICVRyb290gAGjCwwRVSRudWxs0g0ODxBVcm93aWRWJGNsYXNzEa\\/4gALSEhMUFVokY2xhc3NuYW1lWCRjbGFzc2VzXUhLUXVlcnlBbmNob3KiFhddSEtRdWVyeUFuY2hvclhOU09iamVjdAgRGiQpMjdJTFFTV11iaG9ydHmEjZuerAAAAAAAAAEBAAAAAAAAABgAAAAAAAAAAAAAAAAAAAC1""}}'"
13,7,2,com.apple.health.OrganDonation,
14,7,164,com.apple.health.AppRecommendations,"b'{""lastRunDate"":608398122.22561705,""schemaVersion"":4}'"
