name,name_order,name_section,sort_key
Sonic Highways,737088753460554592,18,b'0NFD:.\x048:68V*ZN\x01\x12\x01\xdc\xc1\xdc\x0b\x00'
Stacked Actors,755613598869592624,18,b'0NP*.>20\x04*.PFLN\x01\x12\x01\xdc\xbf\xdc\t\x00'
The Colour And The Shape,922337207550934912,19,b'0P82\x04.F@FRL\x04*D0\x04P82\x04N8*H2\x01\x1c\x01\xdc\xc3\xdc\xc0\xdc\xc3\xdc\xc3\xdc\x08\x00'
The Pretender,1598050329059547904,19,b'0P82\x04HL2P2D02L\x01\x11\x01\xdc\xc3\xdc\x0c\x00'
The Sky Is a Neighborhood,1752440690481310336,19,"b'0P82\x04N>Z\x04:N\x04*\x04D2:68,FL8FF0\x01\x1d\x01\xdc\xc3\xdc\xc3\xdc\xc2\xdc\x0f\x00'"
There Is Nothing Left to Lose,2499533825118655232,19,b'0P82L2\x04:N\x04DFP8:D6\x04@24P\x04PF\x04@FN2\x01!\x01\xdc\xc1\xdc\xc4\xdc\xbf\xdc\xbf\xdc\x07\x00'
These Days,2506257663330391206,19,b'0P82N2\x040*ZN\x01\x0e\x01\xdc\xc1\xdc\x07\x00'
This Is a Call,2566772207236015032,19,b'0P8:N\x04:N\x04*\x04.*@@\x01\x12\x01\xdc\xc2\xdc\xc2\xdc\x07\x00'
Times Like These,3171917646292260224,19,b'0P:B2N\x04@:>2\x04P82N2\x01\x14\x01\xdc\xc1\xdc\xc2\xdc\x08\x00'
Walk,3716548541442879040,22,b'0V*@>\x01\x08\x01\xe0\x07\x00'
Wasting Light,3777063085348505472,22,b'0V*NP:D6\x04@:68P\x01\x11\x01\xe0\xbf\xdc\x08\x00'
Adventures of Rain Dance Maggie,3483240619,0,b'0*0T2DPRL2N\x04F4\x04L*:D\x040*D.2\x04B*66:2\x01#\x01\xdc\xb9\xdc\xc2\xdc\xc1\xdc\t\x00'
Aeroplane,3522094614,0,b'0*2LFH@*D2\x01\r\x01\xdc\x0c\x00'
"Anthony Kiedis, Brian Burton, Chad Smith, Flea & Josh Klinghoffer",3867726439,0,"b'0*DP8FDZ\x04>:20:N\x06\x04,L:*D\x04,RLPFD\x06\x04.8*0\x04NB:P8\x06\x044@2*\x04\n\x90\x04<FN8\x04>@:D68F442L\x01%$\x01\xdc\xbf\xdc\xbf\xdc\xc1\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xc0\xdc\xc2\xdc\x0e\x00'"
"Anthony Kiedis, Chad Smith, Dave Navarro & Flea",3867952026,0,b'0*DP8FDZ\x04>:20:N\x06\x04.8*0\x04NB:P8\x06\x040*T2\x04D*T*LLF\x04\n\x90\x044@2*\x01%\x12\x01\xdc\xbf\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xc2\xdc\xbd\xdc\x07\x00'
"Anthony Kiedis, Chad Smith, Flea & John Frusciante",3867977092,0,b'0*DP8FDZ\x04>:20:N\x06\x04.8*0\x04NB:P8\x06\x044@2*\x04\n\x90\x04<F8D\x044LRN.:*DP2\x01%\x15\x01\xdc\xbf\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xc0\xdc\xc2\xdc\r\x00'
"Anthony Kiedis, Chad Smith, Flea & Josh Klinghoffer",3867989043,0,b'0*DP8FDZ\x04>:20:N\x06\x04.8*0\x04NB:P8\x06\x044@2*\x04\n\x90\x04<FN8\x04>@:D68F442L\x01%\x16\x01\xdc\xbf\xdc\xbf\xdc\xc2\xdc\xc0\xdc\xc0\xdc\xc2\xdc\x0e\x00'
"Anthony Kiedis, Flea, John Frusciante, Flea, Kiedis, SMITH & Chad Smith",3868096606,0,b'0*DP8FDZ\x04>:20:N\x06\x044@2*\x06\x04<F8D\x044LRN.:*DP2\x06\x044@2*\x06\x04>:20:N\x06\x04NB:P8\x04\n\x90\x04.8*0\x04NB:P8\x01%%\t\x01\xdc\xbf\xdc\xbf\xdc\xc1\xdc\xc2\xdc\xbb\xdc\xc1\xdc\xbf\xdc\xdc\xdc\xdc\xdc\xc3\xdc\xc2\xdc\x08\x00'
"Anthony Kiedis, Hillel Slovak, Jack Irons & Flea",3868175407,0,b'0*DP8FDZ\x04>:20:N\x06\x048:@@2@\x04N@FT*>\x06\x04<*.>\x04:LFDN\x04\n\x90\x044@2*\x01%\x13\x01\xdc\xbf\xdc\xbf\xdc\xc0\xdc\xbf\xdc\xc2\xdc\xbf\xdc\x07\x00'
"Anthony Kiedis, John Frusciante, Chad Smith & Flea",3868255596,0,b'0*DP8FDZ\x04>:20:N\x06\x04<F8D\x044LRN.:*DP2\x06\x04.8*0\x04NB:P8\x04\n\x90\x044@2*\x01%\x15\x01\xdc\xbf\xdc\xbf\xdc\xc2\xdc\xbb\xdc\xc2\xdc\xbf\xdc\x07\x00'
"Anthony Kiedis, Michael Balzary, Jack Sherman & Cliff Martinez",3868481182,0,"b'0*DP8FDZ\x04>:20:N\x06\x04B:.8*2@\x04,*@\\*LZ\x06\x04<*.>\x04N82LB*D\x04\n\x90\x04.@:44\x04B*LP:D2\\\x01%!\x01\xdc\xbf\xdc\xbf\xdc\xbf\xdc\xbe\xdc\xc2\xdc\xbd\xdc\xc1\xdc\x0b\x00'"
"Anthony Kiedis, Michael Beinhorn, Flea, Jack Irons & Hillel Slovak",3868506248,0,"b'0*DP8FDZ\x04>:20:N\x06\x04B:.8*2@\x04,2:D8FLD\x06\x044@2*\x06\x04<*.>\x04:LFDN\x04\n\x90\x048:@@2@\x04N@FT*>\x01%%\x01\xdc\xbf\xdc\xbf\xdc\xbf\xdc\xbd\xdc\xc1\xdc\xc2\xdc\xbf\xdc\xc0\xdc\t\x00'"
Around the World,3870762123,0,b'0*LFRD0\x04P82\x04VFL@0\x01\x14\x01\xdc\xbc\xe0\x08\x00'
Behind the Sun (2003 Remaster),3891064993,1,"b'0,28:D0\x04P82\x04NRD\x04\t\x8e\x0fS\x99\x04L2B*NP2L\t\x90\x01\x1f\x01\xdc\xbc\xdc\xc0\xdc\x0c\x00'"
Blood Sugar Sex Magik,3897198451,1,"b'0,@FF0\x04NR6*L\x04N2X\x04B*6:>\x01\x19\x01\xdc\xc1\xdc\xc1\xdc\xc3\xdc\x08\x00'"
Breaking the Girl,3898795722,1,"b'0,L2*>:D6\x04P82\x046:L@\x01\x15\x01\xdc\xba\xdc\x07\x00'"
By the Way,3901382874,1,"b'0,Z\x04P82\x04V*Z\x01\x0e\x01\xdc\xc0\xe0\x06\x00'"
Californication,3918949422,2,b'0.*@:4FLD:.*P:FD\x01\x13\x01\xdc\x12\x00'
Can't Stop,3920901261,2,b'0.*D\tjP\x04NPFH\x01\x0e\x01\xdc\xc1\xdc\x07\x00'
Dani California,3962970834,3,b'00*D:\x04.*@:4FLD:*\x01\x13\x01\xdc\xc2\xdc\r\x00'
Dark Necessities,3963122042,3,b'00*L>\x04D2.2NN:P:2N\x01\x14\x01\xdc\xc2\xdc\x0e\x00'
Getaway,4048749156,6,b'062P*V*Z\x01\x0b\x01\xdc\n\x00'
Give It Away,4053138729,6,b'06:T2\x04:P\x04*V*Z\x01\x10\x01\xdc\xc2\xdc\xc4\xdc\x07\x00'
Greatest Hits,4055443086,6,b'06L2*P2NP\x048:PN\x01\x11\x01\xdc\xbe\xdc\x07\x00'
Higher Ground (Remaster 2003),4076182307,7,b'08:682L\x046LFRD0\x04\t\x8eL2B*NP2L\x04\x0fS\x99\t\x90\x01\x1e\x01\xdc\xc0\xdc\xbf\xdc\x0e\x00'
Hump de Bump,4078267522,7,"b'08RBH\x0402\x04,RBH\x01\x10\x01\xdc\xbf\xdc\x07\x00'"
I'm With You,4097847574,8,b'0:\tjB\x04V:P8\x04ZFR\x01\x10\x01\xdc\xc3\xe0\xc2\xdc\x06\x00'
Knock Me Down (Remaster 2003),4159466632,10,b'0>DF.>\x04B2\x040FVD\x04\t\x8eL2B*NP2L\x04\x0fS\x99\t\x90\x01\x1e\x01\xdc\xc1\xdc\xc4\xdc\xc1\xdc\x0e\x00'
Me and My Friends (2003 Remaster),4209611286,12,"b'0B2\x04*D0\x04BZ\x044L:2D0N\x04\t\x8e\x0fS\x99\x04L2B*NP2L\t\x90\x01""\x01\xdc\xc0\xdc\xc4\xdc\xbc\xdc\x0c\x00'"
"Michael Balzary, John Frusciante, Anthony Kiedis & Chad Smith",4210566701,12,"b'0B:.8*2@\x04,*@\\*LZ\x06\x04<F8D\x044LRN.:*DP2\x06\x04*DP8FDZ\x04>:20:N\x04\n\x90\x04.8*0\x04NB:P8\x01% \x01\xdc\xbf\xdc\xbe\xdc\xc2\xdc\xbb\xdc\xbf\xdc\xbe\xdc\xc2\xdc\x08\x00'"
Mother's Milk,4212273620,12,b'0BFP82L\tjN\x04B:@>\x01\x11\x01\xdc\xbe\xdc\x07\x00'
My Friends,4214643390,12,b'0BZ\x044L:2D0N\x01\x0e\x01\xdc\xc4\xdc\n\x00'
One Hot Minute,4268279614,14,b'0FD2\x048FP\x04B:DRP2\x01\x12\x01\xdc\xc3\xdc\xc3\xdc\t\x00'
One Hot Minute (Deluxe Version),4268306545,14,b'0FD2\x048FP\x04B:DRP2\x04\t\x8e02@RX2\x04T2LN:FD\t\x90\x01#\x01\xdc\xc3\xdc\xc3\xdc\xbf\xdc\xc0\xdc\x0b\x00'
Otherside,4270730250,14,b'0FP82LN:02\x01\r\x01\xdc\x0c\x00'
Red Hot Chili Peppers,427969020896007752,17,b'0L20\x048FP\x04.8:@:\x04H2HH2LN\x01\x19\x01\xdc\xc3\xdc\xc3\xdc\xc1\xdc\n\x00'
Red Hot Chili Peppers Essentials,431741109072796195,17,b'0L20\x048FP\x04.8:@:\x04H2HH2LN\x042NN2DP:*@N\x01$\x01\xdc\xc3\xdc\xc3\xdc\xc1\xdc\xbf\xdc\r\x00'
Scar Tissue,678784550278342858,18,b'0N.*L\x04P:NNR2\x01\x0f\x01\xdc\xc2\xdc\t\x00'
Snow (Hey Oh),710767534244148596,18,b'0NDFV\x04\t\x8e82Z\x04F8\t\x90\x01\x11\x01\xdc\xc1\xdc\xc3\xdc\x06\x00'
Soul To Squeeze,738941238001458394,18,b'0NFR@\x04PF\x04NJR22\\2\x01\x13\x01\xdc\xc2\xdc\xc4\xdc\n\x00'
Stadium Arcadium,772285959737726728,18,b'0NP*0:RB\x04*L.*0:RB\x01\x14\x01\xdc\xbf\xdc\x0b\x00'
Stevie Wonder,787291084519047378,18,b'0NP2T:2\x04VFD02L\x01\x11\x01\xdc\xc0\xe0\t\x00'
Suck My Kiss,800795696822235980,18,b'0NR.>\x04BZ\x04>:NN\x01\x10\x01\xdc\xc2\xdc\xc4\xdc\x07\x00'
Tell Me Baby,899244320512480636,19,"b'0P2@@\x04B2\x04,*,Z\x01\x10\x01\xdc\xc2\xdc\xc4\xdc\x07\x00'"
The Adventures of Rain Dance Maggie,910183056478064604,19,b'0P82\x04*0T2DPRL2N\x04F4\x04L*:D\x040*D.2\x04B*66:2\x01%\x06\x01\xdc\xc3\xdc\xb9\xdc\xc2\xdc\xc1\xdc\t\x00'
The Getaway,1128041106137895296,19,b'0P82\x0462P*V*Z\x01\x0f\x01\xdc\xc3\xdc\n\x00'
The Uplift Mofo Party Plan,1774065384567410116,19,b'0P82\x04RH@:4P\x04BF4F\x04H*LPZ\x04H@*D\x01\x1e\x01\xdc\xc3\xdc\xc0\xdc\xc2\xdc\xc1\xdc\x07\x00'
The Zephyr Song,1827150003945044800,19,b'0P82\x04\\2H8ZL\x04NFD6\x01\x13\x01\xdc\xc3\xdc\xc0\xdc\x07\x00'
True Men Don't Kill Coyotes,3190618992377885736,19,b'0PLR2\x04B2D\x040FD\tjP\x04>:@@\x04.FZFP2N\x01\x1f\x01\xdc\xc2\xdc\xc3\xdc\xc1\xdc\xc2\xdc\n\x00'
Under the Bridge,3358931107148517952,20,"b'0RD02L\x04P82\x04,L:062\x01\x14\x01\xdc\xbd\xdc\t\x00'"
Uplift Mofo Party Plan,3394692850577954028,20,b'0RH@:4P\x04BF4F\x04H*LPZ\x04H@*D\x01\x1a\x01\xdc\xc0\xdc\xc2\xdc\xc1\xdc\x07\x00'
Zephyr Song,4321693980499121984,25,b'0\\2H8ZL\x04NFD6\x01\x0f\x01\xdc\xc0\xdc\x07\x00'
A Mineral Love,2817928042,0,b'0*\x04B:D2L*@\x04@FT2\x01\x12\x01\xdc\xc5\xdc\xbf\xdc\x07\x00'
À tout à l'heure,3131031158,0,b'0*\x04PFRP\x04*\x04@\tj82RL2\x01E\x8a?\x8a\x0c\x01\xdc\x15\x00'
All the Flowers,3830681330,0,b'0*@@\x04P82\x044@FV2LN\x01\x13\x01\xdc\xbf\xdc\n\x00'
All Their Sisters,3834160253,0,b'0*@@\x04P82:L\x04N:NP2LN\x01\x15\x01\xdc\xc3\xdc\xc1\xdc\n\x00'
Ambivalence Avenue,3866519239,0,"b'0*B,:T*@2D.2\x04*T2DR2\x01\x16\x01\xdc\xbb\xdc\t\x00'"
Apple and the Tooth,3869630843,0,b'0*HH@2\x04*D0\x04P82\x04PFFP8\x01\x17\x01\xdc\xb9\xdc\x08\x00'
Bewley in Grey,3893588609,1,"b'0,2V@2Z\x04:D\x046L2Z\x01\x12\x01\xdc\xbd\xdc\x07\x00'"
Bibio,3895998287,1,"b'0,:,:F\x01\t\x01\xdc\x08\x00'"
Bibio Essentials,3896028036,1,"b'0,:,:F\x042NN2DP:*@N\x01\x14\x01\xdc\xc1\xdc\r\x00'"
Cherry Go Round,3921980815,2,b'0.82LLZ\x046F\x04LFRD0\x01\x13\x01\xdc\xc0\xdc\xc4\xdc\x08\x00'
Curls,3933148387,2,b'0.RL@N\x01\t\x01\xdc\x08\x00'
Curls - Single,3935859518,2,b'0.RL@N\x04\x05\x0e\x04N:D6@2\x01\x12\x01\xdc\xbf\xdc\t\x00'
Down To the Sound,3968423220,3,b'00FVD\x04PF\x04P82\x04NFRD0\x01\x15\x01\xdc\xc2\xdc\xc0\xdc\x08\x00'
Dye the Water Green,3970619236,3,b'00Z2\x04P82\x04V*P2L\x046L22D\x01\x17\x01\xdc\xbf\xe0\xc1\xdc\x08\x00'
Electronic,3991967719,4,b'02@2.PLFD:.\x01\x0e\x01\xdc\r\x00'
Excuses,3996441593,4,b'02X.RN2N\x01\x0b\x01\xdc\n\x00'
Feeling,4018401757,5,b'0422@:D6\x01\x0b\x01\xdc\n\x00'
Fi,4020841776,5,b'04:\x01\x06\x01\xdc\x05\x00'
Fire Ant,4021112888,5,b'04:L2\x04*DP\x01\x0c\x01\xdc\xc2\xdc\x06\x00'
First Daffodils,4021143012,5,b'04:LNP\x040*44F0:@N\x01\x13\x01\xdc\xc1\xdc\x0c\x00'
"Flesh Rots, Pip Sown",4022478366,5,b'04@2N8\x04LFPN\x06\x04H:H\x04NFVD\x01\x18\x01\xdc\xc1\xdc\xc1\xdc\xc3\xdc\x07\x00'
Green EP,4057309615,6,b'06L22D\x042H\x01\x0c\x01\xdc\xc1\xdc\xdc\x00'
Hand Cranked,4074108384,7,b'08*D0\x04.L*D>20\x01\x10\x01\xdc\xc2\xdc\n\x00'
It Was Willow,4110595709,8,b'0:P\x04V*N\x04V:@@FV\x01\x11\x01\xdc\xc4\xe0\xc3\xe0\t\x00'
K Is for Kelson - EP,4154579539,10,b'0>\x04:N\x044FL\x04>2@NFD\x04\x05\x0e\x042H\x01\x18\x01\xdc\xc5\xdc\xc0\xdc\xbe\xdc\xdc\x00'
Lovers' Carvings,4190416154,11,b'0@FT2LN\tj\x04.*LT:D6N\x01\x14\x01\xdc\xbf\xdc\x0b\x00'
Mind Bokeh,4210708136,12,"b'0B:D0\x04,F>28\x01\x0e\x01\xdc\xc2\xdc\x08\x00'"
Mineral Love,4210835427,12,b'0B:D2L*@\x04@FT2\x01\x10\x01\xdc\xbf\xdc\x07\x00'
Old Graffiti,4265017213,14,b'0F@0\x046L*44:P:\x01\x10\x01\xdc\xc3\xdc\x0b\x00'
Oval Emerald Vertigo,4272911584,14,b'0FT*@\x042B2L*@0\x04T2LP:6F\x01\x18\x01\xdc\xc2\xdc\xbf\xdc\n\x00'
Ovals And Emeralds - EP,4274874784,14,b'0FT*@N\x04*D0\x042B2L*@0N\x04\x05\x0e\x042H\x01\x1b\x01\xdc\xc1\xdc\xc3\xdc\xbc\xdc\xdc\x00'
Petals,4292543591,15,b'0H2P*@N\x01\n\x01\xdc\t\x00'
Petals - Single,4292785961,15,b'0H2P*@N\x04\x05\x0e\x04N:D6@2\x01\x13\x01\xdc\xbe\xdc\t\x00'
Puffer,122429878576157172,15,b'0HR442L\x01\n\x01\xdc\t\x00'
Ribbons,445299840095984165,17,"b'0L:,,FDN\x01\x0b\x01\xdc\n\x00'"
Silver Wilkinson,689873389912866640,18,b'0N:@T2L\x04V:@>:DNFD\x01\x14\x01\xdc\xc0\xe0\x0c\x00'
T.O.Y.S. - EP,889399458143456172,19,b'0P\x08F\x08Z\x08N\x08\x04\x05\x0e\x042H\x01\x11\x01\xdc\xc5\xdc\xc5\xdc\xc5\xdc\xc2\xdc\xdc\x00'
Take Off Your Shirt,897366217230511776,19,b'0P*>2\x04F44\x04ZFRL\x04N8:LP\x01\x17\x01\xdc\xc2\xdc\xc3\xdc\xc2\xdc\x08\x00'
The Apple and the Tooth,911398471585351626,19,b'0P82\x04*HH@2\x04*D0\x04P82\x04PFFP8\x01\x1b\x01\xdc\xc3\xdc\xb9\xdc\x08\x00'
The First Daffodils,1076919462736942304,19,b'0P82\x044:LNP\x040*44F0:@N\x01\x17\x01\xdc\xc3\xdc\xc1\xdc\x0c\x00'
The Green EP,1175042028430060560,19,b'0P82\x046L22D\x042H\x01\x10\x01\xdc\xc3\xdc\xc1\xdc\xdc\x00'
Vignetting the Compost,3555931886078293356,21,b'0T:6D2PP:D6\x04P82\x04.FBHFNP\x01\x1a\x01\xdc\xb8\xdc\n\x00'
You,4148156599638803712,24,b'0ZFR\x01\x07\x01\xdc\x06\x00'
"Adam Horovitz, Adam Yauch & Michael Diamond",3359283327,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x04\n\x90\x04B:.8*2@\x040:*BFD0\x01%\x0e\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xbf\xdc\xbf\xdc\n\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond & Mario Caldato Jr.",3384644680,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08\x01%!\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbd\xdc\xc1\xdc\xbf\xdc\x06\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond & Mark Nishita",3412823961,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04B*L>\x04D:N8:P*\x01%\x1c\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbd\xdc\xc2\xdc\n\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond & Tom Cushman",3415954992,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04PFB\x04.RN8B*D\x01%\x1b\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbd\xdc\xc3\xdc\n\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond, Mario Caldato Jr. & Ed Chalpin",3444134273,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04B*L:F\x04.*@0*PF\x04<L\x08\x04\n\x90\x0420\x04.8*@H:D\x01%%\x0c\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbe\xdc\xc1\xdc\xbf\xdc\xc1\xdc\xc4\xdc\n\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond, Mark Nishita & Grandimperial",3444447375,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04B*L>\x04D:N8:P*\x04\n\x90\x046L*D0:BH2L:*@\x01%%\n\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbe\xdc\xc2\xdc\xbd\xdc\x10\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond, Mark Nishita & Mario Caldato Jr.",3444482165,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04B*L>\x04D:N8:P*\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08\x01%%\x0e\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbe\xdc\xc2\xdc\xbd\xdc\xc1\xdc\xbf\xdc\x06\x00'
"Adam Horovitz, Adam Yauch, Michael Diamond, Wendell Fite, Steve Hill & Mario Caldato Jr.",3447613196,0,b'0*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04V2D02@@\x044:P2\x06\x04NP2T2\x048:@@\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08\x01%%\x1a\x01\xdc\xc2\xdc\xbd\xdc\xc2\xdc\xc0\xdc\xbf\xdc\xbe\xe0\xbf\xdc\xc1\xdc\xc1\xdc\xc0\xdc\xc1\xdc\xbf\xdc\x06\x00'
Beastie Boys,3889034705,1,"b'0,2*NP:2\x04,FZN\x01\x10\x01\xdc\xbf\xdc\x07\x00'"
Biz vs. The Nuge (Remastered),3896386045,1,"b'0,:\\\x04TN\x08\x04P82\x04DR62\x04\t\x8eL2B*NP2L20\t\x90\x01!\x01\xdc\xbf\xdc\xc3\xdc\xc1\xdc\x0e\x00'"
Blue Nun (Remastered),3897358178,1,"b'0,@R2\x04DRD\x04\t\x8eL2B*NP2L20\t\x90\x01\x19\x01\xdc\xc2\xdc\xc2\xdc\x0e\x00'"
Boomin' Granny (Remastered),3898078878,1,"b'0,FFB:D\tj\x046L*DDZ\x04\t\x8eL2B*NP2L20\t\x90\x01\x1f\x01\xdc\xbf\xdc\xbf\xdc\x0e\x00'"
Check Your Head (Deluxe Version) [Remastered],3921872859,2,b'0.82.>\x04ZFRL\x0482*0\x04\t\x8e02@RX2\x04T2LN:FD\t\x90\x04\t\x92L2B*NP2L20\t\x94\x01%\x10\x01\xdc\xc1\xdc\xc2\xdc\xc1\xdc\xc0\xdc\xbd\xdc\x0e\x00'
Drinkin' Wine (Remastered),3969018816,3,b'00L:D>:D\tj\x04V:D2\x04\t\x8eL2B*NP2L20\t\x90\x01\x1e\x01\xdc\xbe\xe0\xc1\xdc\x0e\x00'
Drunken Praying Mantis Style (Remastered),3969084994,3,b'00LRD>2D\x04HL*Z:D6\x04B*DP:N\x04NPZ@2\x04\t\x8eL2B*NP2L20\t\x90\x01%\x0c\x01\xdc\xbf\xdc\xbf\xdc\xc0\xdc\xc0\xdc\x0e\x00'
